indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts 5C.5overed,8,8.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Total Schools11.9,2514,2523.0,2575.0,2707.0,2826.0,3370.0,3359.0,3320.0,2963.0,2799.0
Total Government Schools,-,1854.0,1886.0,2005.0,2101.0,2671.0,2624.0,2603.0,2259.0,2092.0
Total Private Schools,-,668.0,689.0,702.0,725.0,699.0,735.0,717.0,704.0,707.0
Ratio of Primary to U.PrimarySch1./2S.2ec.,2.4,2.3,2.2,2.2,2.1,1.7,1.7,1.7,1.7,1.7
Primary Sch./Sec.per 1000 Child Popln.,9,10.0,7.0,12.0,13.0,13.0,13.0,11.0,11.0,11.0
U.Prim. Sch./Sec.per 1000 Child Popln.,6,7.0,11.0,7.0,8.0,11.0,11.0,12.0,13.0,14.0
% Single-Teacher Schools with Enr.≥15,2.3,1.9,2.0,3.2,2.1,1.5,1.5,1.5,1.3,0.9
% Enrolment in Single-Teacher Schools,0.5,0.7,0.5,1.1,0.8,0.6,0.7,0.7,0.5,0.3
% Schools with Enro6lm.3ent ≤ 50,25.1,24.6,22.1,26.2,26.9,36.5,34.5,35.1,36.8,33.7
% Schools with Fem5.a2le Teachers,81.9,84.3,85.2,84.9,83.8,87.3,89.9,100.0,92.6,93.8
