indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Distri3c.t3s Covered,14,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Total Schools10.6,19451,20789.0,25415.0,26097.0,27095.0,27493.0,28131.0,28307.0,28543.0,28578.0
Total Government Schools,-,16502.0,20866.0,21310.0,22180.0,22538.0,23103.0,23234.0,23378.0,23329.0
Total Private Schools,-,4287.0,4549.0,4786.0,4914.0,4955.0,5028.0,5073.0,5165.0,5247.0
Ratio of Primary to U.PrimarySch1./0S.7ec.,2.4,2.3,2.5,2.3,2.1,2.1,2.0,2.0,2.0,2.0
Primary Sch./Sec.per 1000 Child Popln.,17,19.0,15.0,23.0,24.0,25.0,25.0,19.0,19.0,19.0
U.Prim. Sch./Sec.per 1000 Child Popln.,11,13.0,23.0,17.0,20.0,20.0,21.0,16.0,16.0,16.0
% Single-Teacher Schools with Enr.≥15,3.8,3.3,10.9,10.0,6.5,5.0,4.1,3.5,2.8,3.3
% Enrolment in Single-Teacher Schools,1.8,1.4,5.1,4.8,3.0,2.4,2.0,1.8,1.5,1.8
% Schools with En4ro.6lment ≤ 50,51.7,50.6,54.2,54.4,56.6,57.9,58.6,60.2,61.4,61.5
% Schools with F3e.4male Teachers,68.7,70.8,73.1,73.4,73.3,72.1,72.1,72.2,71.3,71.3
