indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts C5o.3vered,4,4.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0
Total Schools11.5,3548,3901.0,3905.0,4303.0,4386.0,4503.0,4745.0,4800.0,4818.0,4844.0
Total Government Schools,-,3739.0,3742.0,4143.0,4217.0,4275.0,4411.0,4323.0,4326.0,4322.0
Total Private Schools,-,162.0,163.0,160.0,169.0,228.0,274.0,286.0,300.0,335.0
Ratio of Primary to U.PrimarySc9h.7./Sec.,2.1,2.2,2.1,2.2,2.1,2.0,2.1,2.1,2.1,2.1
Primary Sch./Sec.per 1000 Child Popln.,9,11.0,8.0,13.0,15.0,14.0,15.0,14.0,14.0,14.0
U.Prim. Sch./Sec.per 1000 Child Popln.,7,8.0,12.0,9.0,9.0,10.0,10.0,13.0,13.0,14.0
% Single-Teacher Schools with Enr.≥15,1.4,0.8,0.9,1.0,0.8,1.4,1.2,1.7,0.8,0.2
% Enrolment in Single-Teacher Schools,0.5,0.4,0.5,0.5,0.4,0.5,0.4,0.6,0.3,0.1
% Schools with Enr4o.l8ment ≤ 50,15.5,21.1,21.5,29.5,31.7,34.9,36.1,37.5,39.4,40.5
% Schools with Fem4a.7le Teachers,52.5,52.8,53.8,54.2,60.5,61.0,61.7,62.2,63.8,63.8
