indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,36,32,36,34.0,35,36,36,36,34,33
% Schools with Drinking Water,95.1,86.7,100.0,100.0,100.0,10200.10,1493.3,100.0,100.0,100.0
% Schools with Common Toilet,80.2,80.6,89.9,51.4,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,72.9,80.9,99.1,98.2x,100.0x,100.0x,100.0
% Schools with Girls' Toilet,47.5,61.2,73.7,75.7,81.8,9250.15,15 98.2x,100.0x,100.0x,100.0
% Schools with Boundarywall,85.2,88.8,90.9,89.7,91.8,91.2,83.3,90.3,92.5,93.3
% School with Playground Facility,-,-,-,65.4,61.8,5250.18,1653.3,49.6,47.5,50.0
% Schools with Ramp,9.9,12.2,33.3,44.9,40.0,50.4,75.0**,94.4**,74.5**,93.6**
% Schools havining Electricity,-,-,100.0,100.0,100.0,100.0,93.3,100.0,100.0,100.0
% Schools with Computer,21.8,36.7,43.4,43.0,55.5,54.9,52.5,57.5,60.0,57.5
% Schools Providing Mid-day Meal*,-,-,-,91.5,97.8,97.8,89.0,97.8,98.0,98.0
