indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,29453,35963,34178,34242,32224,32423,32233,31987.0,31625,31406
Enrolment: Classes VI-VIII,18845,21540,22488,22323,21129,20909,20164,19716.0,19202,18707
"Enrolment: Classes I-V, Government",-,29892,27463,27148,24926,24652,23819,23441.0,22772,22174
"Enrolment:Classes VI-VIII,Gov9e8rn.9ment",-,19100,19835,19555,18156,17685,16650,16074.0,15463,14997
"Enrolment: Classes I-V, Priv8a3.t9e",-,6071,6715,7094,7298,7771,8414,8546.0,8853,9232
"Enrolment: Classes VI-VIII, Private",-,2440,2653,2768,2973,3168,3514,3642.0,3739,3710
% Girls Enrolment: Primary Le9v7e.l6,49.1,48.8,49.0,48.7,48.8,48.9,48.6,48.9,49.2,49.1
% Girls Enrolment: U.Primary9 0L.e8vel,46.9,47.5,47.5,48.0,48.4,48.3,48.9,48.6,48.7,49.1
Ratio of Girls Enr.to Boys: Primary,0.97,0.95,0.96,0.95,0.95,0.96,0.95,0.96,0.97,0.96
Ratio of Girls Enr.to Boys: U.Primary,0.88,0.90,0.90,0.92,0.94,0.93,0.96,0.94,0.95,0.96
% SC Enrolment: Classes I-VIII,0.0,0.0,0.1,0.0,0.4,0.4,0.0,0.0,0.0,0.0
% ST Enrolment: Classes  I-VII9I 9.0,8.1,7.0,7.4,7.4,7.5,7.4,7.4,8.0,8.3,8.5
% OBC Enrolment: Primary Level,0.0,0.7,3.5,4.2,6.0,9.3,13.7,16.9,18.2,20.3
% OBC Enrolment:U.Primary Level,0.0,0.6,2.8,4.6,6.7,10.9,15.2,18.2,19.2,21.5
% Muslim Enrolment: Primary L9e9v.3el,-,1.5,3.1,7.0,7.9,8.1,8.6,8.5,8.9,9.2
% Muslim Enrolment: U. Prim9a4ry.3 Level,-,1.3,3.0,5.8,6.6,6.9,7.5,8.2,8.5,8.5
Ratio of Grade V to I,-,-,-,-,-,-,-,100.0,98,-
Avg. Repetition Rate: Primary Level,-,1.8,0.5,1.7,2.8,1.2,0.4,0.8,0.3,0.3
Avg.Repetition Rate: U.Primary Level,-,4.5,1.1,3.8,1.3,0.4,0.2,0.5,0.3,0.2
Avg. Drop-out Rate: Primary Level,-,-,-,1.5,3.5,8-,.7-,0.7,1.2,0.5
Retention Rate: Primary Level,-,-,-,84.4,-,92.7,98.1,93.8,-,96.2
Transition Rate: Primary to U.Primary,-,-,-,-,97.2,-,99.9,98.4,98.7,-
