indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts Cove16re.6d,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Total Schools22.0,185,176.0,177.0,176.0,184.0,187.0,188.0,192.0,197.0,201.0
Total Government Schools,-,110.0,112.0,112.0,114.0,111.0,110.0,112.0,113.0,115.0
Total Private Schools,-,66.0,65.0,64.0,68.0,76.0,78.0,80.0,80.0,80.0
Ratio of Primary to U.PrimarySch2./6S.1ec.,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0
Primary Sch./Sec.per 1000 Child Popln.,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
U.Prim. Sch./Sec.per 1000 Child Popln.,2,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
% Single-Teacher Schools with Enr.≥15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
% Enrolment in Single-Teacher Schools,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
% Schools with Enrolment 2≤0 5.00,4.9,1.7,1.1,1.1,3.8,2.1,1.1,1.0,1.0,0.5
% Schools with Female Te1a8c.h9ers,98.9,100.0,99.4,99.4,97.3,100.0,100.0,100.0,100.0,100.0
