indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),10741,15590.0,17341.0,17992.0,18428.0,18812.0,20483,20461,21085.0,21584.0
% Teachers: Government,-,86.2,84.3,83.0,79.8,77.7,80.2,76.6,72.1,71.0
% Teachers: Private Aided,-,4.7,5.6,5.1,4.3,3.3,0.2,0.7,4.0,3.9
% Teachers: Private Unaided,-,9.1,10.2,11.9,14.3,17.4,19.4,22.6,23.3,24.2
Pupil-Teacher Ratio: Elementary,23,20.0,19.0,19.0,18.0,18.0,16,16,15.0,15.0
% Female Teachers,32.7,35.9,37.2,37.8,37.6,38.6,39.7,40.3,41.4,42.8
% SC Teachers,-,1.8,1.4,1.6,1.6,1.5,1.4,1.2,1.2,1.3
% ST Teachers,-,65.5,67.4,67.5,67.0,67.1,66.3,64.7,65.4,66.4
% OBC Teachers,-,3.5,3.2,3.2,3.1,3.2,3.0,3.1,3.1,3.0
% Teachers Recieved in-Service Training,9.9,8.3,9.4,6.2,5.6,5.8,7.9,16.9,11.1,8.5
% Contract Teachers to Total Teachers,10.9,17.3,16.3,14.5,10.7,17.6,-,-,50.6,54.1
