indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,23,21,20,19.0,19,18,17,16,16,15
% Schools with Drinking Water,69.0,65.8,63.3,85.4,78.2,7280.10,1476.2,79.7,80.6,81.4
% Schools with Common Toilet,21.2,21.7,25.8,38.2,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,17.6,18.5,51.6,25.1x,80.1x,96.9x,95.6
% Schools with Girls' Toilet,11.7,11.9,16.1,38.0,31.3,3280.15,15 62.5x,50.4x,96.1x,96.5
% Schools with Boundarywall,41.7,27.1,27.7,27.8,30.0,33.5,37.1,49.9,53.2,53.5
% School with Playground Facility,-,-,-,27.5,30.0,3220.15,1633.2,39.2,39.1,39.0
% Schools with Ramp,6.9,3.0,3.0,3.3,3.7,4.8,44.7**,85.9**,77.2**,82.9**
% Schools havining Electricity,-,-,16.7,19.7,20.7,22.9,24.5,32.7,38.2,39.0
% Schools with Computer,7.0,9.2,9.5,14.2,15.6,18.6,19.7,24.1,24.4,24.0
% Schools Providing Mid-day Meal*,-,-,-,77.5,65.0,84.3,87.1,92.8,94.0,92.5
