indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts3 .C6overed,15,16.0,16.0,16.0,16.0,16.0,16.0,16.0,20.0,20.0
Total Schools9.3,3070,4547.0,4583.0,4642.0,4441.0,4343.0,4413.0,3855.0,3903.0,4012.0
Total Government Schools,-,4331.0,4328.0,4341.0,4100.0,3950.0,4004.0,3398.0,3382.0,3464.0
Total Private Schools,-,216.0,255.0,300.0,339.0,392.0,406.0,451.0,502.0,518.0
Ratio of Primary to U.PrimarySch./S9.e3c.,4.0,5.2,4.2,3.9,3.6,3.3,3.0,2.5,2.4,2.4
Primary Sch./Sec.per 1000 Child Popln.,24,39.0,14.0,43.0,44.0,40.0,41.0,21.0,22.0,22.0
U.Prim. Sch./Sec.per 1000 Child Popln.,9,11.0,41.0,15.0,16.0,17.0,19.0,17.0,19.0,21.0
% Single-Teacher Schools with Enr.≥15,34.7,25.2,29.2,27.7,26.6,23.6,21.2,20.3,15.7,15.8
% Enrolment in Single-Teacher Schools,17.4,14.3,15.0,14.0,13.1,12.8,11.4,9.7,8.2,8.7
% Schools with Enrolm5e.2nt ≤ 50,58.9,66.1,64.1,64.0,60.6,59.2,59.9,53.8,53.4,54.1
% Schools with Fema4le.7 Teachers,79.4,83.8,83.7,83.6,82.9,84.2,85.6,100.0,72.8,74.9
