indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,361204,459689.0,459714.0,470689.0,507945.0,516342.0,513920,528194,539085.0,547730.0
Enrolment: Classes VI-VIII,72320,116409.0,126400.0,135638.0,152184.0,189274.0,198795,209930,217370.0,227883.0
"Enrolment: Classes I-V, Government",-,181998.0,154372.0,148816.0,276437.0,276064.0,268374,273670,274301.0,278145.0
"Enrolment:Class3e2s.1 VI-VIII,Government",-,26572.0,22265.0,16993.0,60211.0,81323.0,98216,95597,98405.0,101625.0
"Enrolment: C15la.1sses I-V, Private",-,277691.0,305342.0,321873.0,230296.0,239233.0,242150,250596,259599.0,264027.0
"Enrolment: Classes VI-VIII, Private",-,89837.0,104135.0,118645.0,91729.0,106803.0,100326,113567,118180.0,124624.0
% Girls Enrolme3n1t.0: Primary Level,50.4,50.2,50.4,50.3,50.4,50.3,50.1,50.1,49.9,49.9
% Girls Enro1lm5.2ent: U.Primary Level,52.0,52.4,53.4,53.0,52.9,52.9,53.0,53.2,52.7,52.7
Ratio of Girls Enr.to Boys: Primary,1.02,1.01,1.01,1.01,1.02,1.01,1.00,1.00,1.0,1.0
Ratio of Girls Enr.to Boys: U.Primary,1.08,1.1,1.14,1.13,1.12,1.12,1.13,1.13,1.12,1.11
% SC Enrolment: Classes I-VIII,1.1,1.0,1.2,1.2,1.1,1.1,1.1,1.4,1.3,1.1
% ST Enrolment:3 4C.l0asses  I-VIII,92.9,93.1,92.0,91.9,91.6,91.4,91.3,90.8,90.8,90.8
% OBC Enrolment: Primary Le1v00e.l0,0.7,0.5,0.7,0.7,0.7,0.5,0.6,0.7,0.6,0.7
% OBC Enrolment:U.Primary Level,1.2,0.9,1.2,1.0,1.2,0.8,0.8,0.9,0.8,0.9
% Muslim Enrolm31e.3nt: Primary Level,-,0.2,0.4,2.4,3.3,3.5,2.3,3.4,3.3,3.4
% Muslim E1n0.r7olment: U. Primary Level,-,0.2,0.7,2.7,3.0,3.2,1.7,3.9,3.8,3.9
Ratio of Grade V to I,38,46.0,49.0,55.0,53.0,46.0,49,54,57.0,60.0
Avg. Repetition Rate: Primary Level,8.3,5.4,5.6,3.0,5.1,3.9,3.1,2.8,3.1,3.5
Avg.Repetition Rate: U.Primary Level,-,6.2,5.7,3.0,4.5,4.6,3.4,3.2,5.5,5.5
Avg. Drop-out Rat3e8:. 4Primary Level,22.5,20.8,18.6,17.3,12.7,15.1,19133.1.9,10.1,10.3,9.5
Retention Rate: Primary Level,-,50.1,57.2,55.5,56.1,60.4,51.9,57.5,54.4,54.3
Transition Rate: Primary to U.Primary,-,82.8,85.1,96.9,98.6,84.7,-,-,94.5,94.7
