indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),462869,518881.0,508004.0,501819.0,572976.0,575920.0,519749.0,540634.0,300566.0,276900.0
% Teachers: Government,-,64.2,62.7,62.1,60.2,60.0,57.9,57.8,61.8,65.8
% Teachers: Private Aided,-,3.8,3.7,3.5,3.0,2.8,2.7,2.4,2.8,2.9
% Teachers: Private Unaided,-,32.0,33.6,34.4,32.1,33.0,35.9,37.9,33.8,30.5
Pupil-Teacher Ratio: Elementary,24,21.0,21.0,22.0,20.0,20.0,21.0,21.0,20.0,20.0
% Female Teachers,42.5,44.9,45.4,45.7,46.9,47.0,47.3,48.2,47.5,47.2
% SC Teachers,-,12.9,12.9,13.3,14.4,14.3,13.7,13.7,15.8,16.3
% ST Teachers,-,6.4,6.5,6.7,6.8,7.0,6.0,6.3,6.0,6.2
% OBC Teachers,-,38.5,38.5,39.3,40.1,41.1,41.5,42.2,40.9,41.5
% Teachers Recieved in-Service Training,45.9,37.8,32.7,27.0,25.6,32.4,28.7,19.1,25.2,11.2
