indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),148869,242203.0,261212.0,225857.0,270811.0,235072.0,277532,290459,296609.0,302001.0
% Teachers: Government,-,73.2,76.5,73.6,61.6,61.9,65.5,71.7,70.0,67.7
% Teachers: Private Aided,-,15.5,17.7,19.4,19.4,17.0,15.0,9.7,9.1,9.1
% Teachers: Private Unaided,-,11.3,5.8,7.0,7.4,8.9,9.1,10.9,12.6,15.4
Pupil-Teacher Ratio: Elementary,25,24.0,22.0,23.0,21.0,25.0,21,20,20.0,18.0
% Female Teachers,29.7,30.2,30.6,30.9,30.7,31.8,33.9,34.3,35.2,36.2
% SC Teachers,-,5.8,5.7,5.6,5.6,5.7,5.9,5.9,6.0,6.0
% ST Teachers,-,17.0,16.8,16.7,16.8,17.0,15.6,15.2,14.8,15.4
% OBC Teachers,-,29.6,29.5,30.8,29.3,28.9,30.2,29.6,29.4,29.4
% Teachers Recieved in-Service Training,58.9,28.4,34.9,46.9,32.5,33.7,24.2,16.4,11.8,15.0
% Contract Teachers to Total Teachers,3.1,8.0,7.8,7.0,4.5,3.4,-,-,14.4,13.9
