indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Distric3ts.2 Covered,23,23.0,23.0,23.0,23.0,27.0,27.0,27.0,27.0,27.0
Total Schools4.2,40215,66727.0,68542.0,53338.0,64653.0,61110.0,61689.0,64171.0,65141.0,65894.0
Total Government Schools,-,53950.0,60147.0,44518.0,44371.0,42917.0,42993.0,50186.0,50070.0,50143.0
Total Private Schools,-,12777.0,8395.0,8820.0,9488.0,7930.0,8399.0,6753.0,7037.0,7839.0
Ratio of Primary to U4.P.4rimarySch./Sec.,3.2,3.3,3.0,2.9,2.6,3.1,3.1,3.1,3.1,3.0
Primary Sch./Sec.per 1000 Child Popln.,10,17.0,9.0,13.0,16.0,16.0,16.0,14.0,15.0,15.0
U.Prim. Sch./Sec.per 1000 Child Popln.,5,8.0,17.0,7.0,10.0,8.0,8.0,8.0,9.0,9.0
% Single-Teacher Schools with Enr.≥15,15.2,22.6,19.9,11.1,14.1,14.6,6.9,7.3,1.8,1.6
% Enrolment in Single-Teacher Schools,13.3,14.6,12.8,6.8,11.1,12.2,4.7,5.1,1.1,1.0
% Schools with E3n.1rolment ≤ 50,34.9,43.2,42.8,34.7,36.8,31.6,33.2,36.5,38.3,46.1
% Schools with F3e.m1 ale Teachers,65.9,71.4,71.5,67.8,67.9,68.5,68.3,100.0,64.6,64.7
