indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,33,30,30,32.0,27,27,27,27,26,24
% Schools with Drinking Water,90.0,97.4,97.0,99.5,99.0,9290.16,1499.7,99.9,99.8,99.9
% Schools with Common Toilet,69.1,94.1,94.8,56.6,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,68.3,68.2,92.7,86.6x,98.9x,98.7x,99.5
% Schools with Girls' Toilet,70.7,87.3,87.5,87.4,86.0,9230.16,15 97.6x,96.8x,96.4x,99.6
% Schools with Boundarywall,91.3,92.8,93.4,95.1,95.6,95.9,95.8,96.4,98.2,98.5
% School with Playground Facility,-,-,-,84.6,76.1,7260.16,1676.8,81.3,83.4,84.3
% Schools with Ramp,48.9,54.2,57.4,66.0,56.9,60.8,86.4**,87.4**,90.1**,90.2**
% Schools havining Electricity,-,-,96.0,94.3,94.7,95.9,97.0,97.8,98.8,99.0
% Schools with Computer,10.7,25.3,27.5,26.8,32.9,36.9,41.6,44.2,46.1,46.9
% Schools Providing Mid-day Meal*,-,-,-,92.3,72.4,97.1,98.3,98.8,98.7,98.8
