indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),63051,105846.0,116239,110134,132854.0,145815.0,175090.0,183776.0,201404.0,204970.0
% Teachers: Government,-,74.9,72.9,71.6,58.2,56.6,52.4,50.7,49.2,45.4
% Teachers: Private Aided,-,2.9,3.5,3.6,2.5,1.9,1.7,1.7,1.7,1.7
% Teachers: Private Unaided,-,22.3,23.7,24.8,35.5,38.0,43.5,45.5,46.9,49.7
Pupil-Teacher Ratio: Elementary,33,28.0,28,30,26.0,26.0,22.0,22.0,20.0,18.0
% Female Teachers,41.8,46.3,47.4,46.6,49.4,49.5,51.2,52.2,54.5,56.0
% SC Teachers,-,10.4,10.5,10.9,10.6,10.7,10.5,10.3,10.3,10.2
% ST Teachers,-,0.5,0.5,0.1,0.2,0.0,0.1,0.0,0.0,0.0
% OBC Teachers,-,20.6,19.9,21.0,21.4,21.8,21.2,21.0,21.2,21.2
% Teachers Recieved in-Service Training,77.0,47.1,-,-,1.1,17.9,14.1,0.5,2.0,2.0
