indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,18,16,15,15.0,14,14,15,14,13,13
% Schools with Drinking Water,88.7,93.1,94.1,97.6,97.6,9280.18,1499.1,99.1,99.1,99.9
% Schools with Common Toilet,40.0,48.0,50.9,38.1,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,42.9,57.1,80.6,72.7x,97.6x,97.8x,99.7
% Schools with Girls' Toilet,29.7,38.7,42.9,56.4,66.5,9260.10,15 97.6x,94.7x,95.6x,99.8
% Schools with Boundarywall,24.7,28.7,31.8,50.0,45.4,51.9,57.1,63.2,71.8,70.1
% School with Playground Facility,-,-,-,67.3,66.3,6260.16,1683.9,85.7,84.4,85.8
% Schools with Ramp,5.7,27.7,33.4,46.4,45.7,51.7,91.1**,92.1**,84.8**,88.9**
% Schools havining Electricity,-,-,58.3,59.8,60.8,72.0,85.0,87.1,94.2,96.2
% Schools with Computer,7.6,11.1,12.9,14.7,16.6,18.7,21.7,22.5,23.8,26.0
% Schools Providing Mid-day Meal*,-,-,-,99.0,83.5,99.4,99.1,99.4,99.6,99.6
