indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,6188,7124,7046,6880,6119,5828,5560,4691,4509,4408
Enrolment: Classes VI-VIII,3483,3826,3752,3677,4166,4337,4187,3598,3379,3168
"Enrolment: Classes I-V, Government",-,7124,7046,6880,6119,5726,5560,4691,4509,4408
"Enrolment:Classes VI-VIII,Gov1e0r0n.0ment",-,3826,3752,3677,4166,4200,4187,3598,3379,3168
"Enrolment: Classes I-V, Privat1e00.0",-,-,-,-,-,-,-,-,-,-
"Enrolment: Classes VI-VIII, Private",-,-,-,-,-,-,-,-,-,-
% Girls Enrolment: Primary Le9v8e.l0,47.8,49.3,50.5,50.2,48.8,48.6,49.1,48.3,49.2,48.6
% Girls Enrolment: U.Primary 1L0e0v.e0l,42.4,46.7,48.7,49.8,52.7,53.4,53.3,52.2,51.3,50.0
Ratio of Girls Enr.to Boys: Primary,0.91,0.97,1.02,1.01,0.95,0.95,0.96,0.93,0.97,0.94
Ratio of Girls Enr.to Boys: U.Primary,0.74,0.88,0.95,0.99,1.11,1.15,1.14,1.09,1.05,1.00
% SC Enrolment: Classes I-VIII,2.7,0.1,0.0,0.1,0.1,0.4,0.2,0.1,0.0,0.0
% ST Enrolment: Classes  I-V9II3I .3,95.0,99.6,99.3,98.8,97.7,98.6,98.8,99.3,99.3,98.6
% OBC Enrolment: Primary Level,0.6,0.4,0.5,0.6,2.6,0.8,0.7,0.8,0.8,1.1
% OBC Enrolment:U.Primary Level,0.1,0.2,0.3,0.4,0.6,0.6,0.6,0.5,0.3,0.8
% Muslim Enrolment: Primary L9e9v.5el,-,99.9,99.7,99.6,89.1,99.4,97.7,96.0,99.5,99.4
% Muslim Enrolment: U. Prima1r0y0 .L0evel,-,100.0,99.7,99.0,93.3,89.0,98.1,98.4,99.8,99.2
Ratio of Grade V to I,80,98,-,-,-,-,-,-,-,-
Avg. Repetition Rate: Primary Level,-,2.2,1.8,0.6,1.2,0.0,0.0,0.0,0.0,0.0
Avg.Repetition Rate: U.Primary Level,-,2.6,6.7,2.4,2.8,0.3,0.0,0.0,0.0,0.0
Avg. Drop-out Rate: Primary Le9v9e.8l,-,-,5.7,4.2,2.4,1.3,102.51.4,2.5,-,-
Retention Rate: Primary Level,-,-,-,-,-,98.3,94.3,95.2,96.2,95.2
Transition Rate: Primary to U.Primary,-,-,92.4,98.9,93.2,-,97.8,97.0,98.1,97.3
