indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts Covered,-,-,-,-,-,-,-,-,10.0,10.0
Total Schools,-,-,-,-,-,-,-,-,43839.0,40818.0
Total Government Schools,-,-,-,-,-,-,-,-,28822.0,28679.0
Total Private Schools,-,-,-,-,-,-,-,-,14438.0,11541.0
Ratio of Primary to U.PrimarySch./Sec.,-,-,-,-,-,-,-,-,1.8,1.8
Primary Sch./Sec.per 1000 Child Popln.,-,-,-,-,-,-,-,-,10.0,11.0
U.Prim. Sch./Sec.per 1000 Child Popln.,-,-,-,-,-,-,-,-,9.0,10.0
% Single-Teacher Schools with Enr.≥15,-,-,-,-,-,-,-,-,11.1,7.5
% Enrolment in Single-Teacher Schools,-,-,-,-,-,-,-,-,4.8,3.9
% Schools with Enrolment ≤ 50,-,-,-,-,-,-,-,-,36.9,38.5
% Schools with Female Teachers,-,-,-,-,-,-,-,-,83.7,82.4
