indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,-,-,-,-,-,-,-,-,3191573.0,3246976.0
Enrolment: Classes VI-VIII,-,-,-,-,-,-,-,-,1727617.0,1758209.0
"Enrolment: Classes I-V, Government",-,-,-,-,-,-,-,-,1393762.0,1349110.0
"Enrolment:Classes VI-VIII,Government",-,-,-,-,-,-,-,-,893619.0,889611.0
"Enrolment: Classes I-V, Private",-,-,-,-,-,-,-,-,1736994.0,1833549.0
"Enrolment: Classes VI-VIII, Private",-,-,-,-,-,-,-,-,825733.0,857295.0
% Girls Enrolment: Primary Level,-,-,-,-,-,-,-,-,48.4,48.3
% Girls Enrolment: U.Primary Level,-,-,-,-,-,-,-,-,49.1,48.9
Ratio of Girls Enr.to Boys: Primary,-,-,-,-,-,-,-,-,0.94,0.93
Ratio of Girls Enr.to Boys: U.Primary,-,-,-,-,-,-,-,-,0.96,0.96
% SC Enrolment: Classes I-VIII,-,-,-,-,-,-,-,-,16.8,16.4
% ST Enrolment: Classes  I-VIII,-,-,-,-,-,-,-,-,12.1,11.8
% OBC Enrolment: Primary Level,-,-,-,-,-,-,-,-,46.7,45.8
% OBC Enrolment:U.Primary Level,-,-,-,-,-,-,-,-,48.1,47.5
% Muslim Enrolment: Primary Level,-,-,-,-,-,-,-,-,14.4,14.7
% Muslim Enrolment: U. Primary Level,-,-,-,-,-,-,-,-,12.4,12.8
Ratio of Grade V to I,-,-,-,-,-,-,-,-,87.0,86.0
Avg. Repetition Rate: Primary Level,-,-,-,-,-,-,-,-,0.1,0.0
Avg.Repetition Rate: U.Primary Level,-,-,-,-,-,-,-,-,0.0,0.0
Avg. Drop-out Rate: Primary Le9v7e.4l,-,-,-,-,-,-,-,-,5.8,2.1
Retention Rate: Primary Level,-,-,-,-,-,-,-,-,77.0,79.7
Transition Rate: Primary to U.Primary,-,-,-,-,-,-,-,-,95.5,98.2
