indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),354439,422330.0,453163.0,458766.0,460214.0,472854.0,560412,604364,627045,656083.0
% Teachers: Government,-,60.2,62.1,59.9,58.6,56.1,55.8,54.0,50.7,50.2
% Teachers: Private Aided,-,1.5,1.2,1.4,1.4,0.4,0.1,-,-,0.0
% Teachers: Private Unaided,-,36.9,36.7,37.8,38.9,42.4,43.0,44.9,48.2,48.7
Pupil-Teacher Ratio: Elementary,33,29.0,27.0,27.0,26.0,26.0,22,20,19,19.0
% Female Teachers,27.1,29.3,30.0,30.1,30.2,30.7,31.2,32.6,33.9,34.9
% SC Teachers,-,15.1,14.6,14.3,14.2,14.2,14.3,14.1,13.8,13.7
% ST Teachers,-,8.0,9.0,9.1,9.4,9.3,9.6,9.9,9.8,9.8
% OBC Teachers,-,36.7,37.2,37.7,38.2,38.4,38.7,38.4,38.0,38.3
% Teachers Recieved in-Service Training,30.4,39.7,33.3,29.1,7.6,22.2,12.4,9.4,5.7,2.8
% Contract Teachers to Total Teachers,9.1,7.9,6.0,5.2,5.4,5.8,-,-,3.8,2.9
