indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts 8C.1overed,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Total Schools15.9,616,703.0,692.0,692.0,709.0,707.0,709.0,717.0,722.0,719.0
Total Government Schools,-,441.0,435.0,434.0,440.0,435.0,433.0,433.0,428.0,421.0
Total Private Schools,-,260.0,257.0,258.0,269.0,272.0,276.0,284.0,294.0,298.0
Ratio of Primary to U.PrimaryS14c.h9./Sec.,1.7,1.7,1.5,1.6,1.5,1.5,1.5,1.5,1.4,1.4
Primary Sch./Sec.per 1000 Child Popln.,5,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0
U.Prim. Sch./Sec.per 1000 Child Popln.,4,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
% Single-Teacher Schools with Enr.≥15,1.0,1.6,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0
% Enrolment in Single-Teacher Schools,0.3,0.2,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0
% Schools with Enro8lm.9ent ≤ 50,23.4,19.4,15.6,16.0,17.4,17.1,17.4,20.8,21.3,21.4
