indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,92,96,96,89.0,83,79,65,57,52,51
% Schools with Drinking Water,87.7,80.6,85.3,92.6,91.9,9230.10,1493.5,92.3,92.5,94.2
% Schools with Common Toilet,34.9,48.5,57.2,48.2,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,17.4,22.4,70.3,71.5x,80.1x,79.8x,89.0
% Schools with Girls' Toilet,11.8,21.6,26.1,37.7,37.4,5220.12,15 76.8x,70.2x,71.2x,89.9
% Schools with Boundarywall,32.7,28.1,33.2,39.1,44.6,52.7,52.4,52.9,53.8,53.4
% School with Playground Facility,-,-,-,31.0,31.4,3220.12,1632.9,34.2,35.0,35.3
% Schools with Ramp,11.7,20.6,29.3,38.7,47.4,57.5,83.6**,82.4**,66.3**,86.7**
% Schools havining Electricity,-,-,3.5,3.9,4.3,4.6,4.8,8.1,24.2,36.7
% Schools with Computer,2.4,0.6,0.7,0.9,1.2,1.5,1.7,4.5,6.7,7.6
% Schools Providing Mid-day Meal*,-,-,-,72.3,84.9,92.5,93.8,95.5,96.2,96.5
