indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Dist3r.i4cts Covered,37,37.0,37.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0
Total Schools4.5,53778,67874.0,67749.0,67656.0,69379.0,70501.0,71484.0,76596.0,79196.0,80166.0
Total Government Schools,-,66627.0,67649.0,67618.0,67926.0,69364.0,69911.0,70673.0,71140.0,71411.0
Total Private Schools,-,1238.0,93.0,14.0,397.0,86.0,429.0,1698.0,2899.0,3477.0
Ratio of Primary to U.P7.r2imarySch./Sec.,3.2,3.7,3.4,2.8,2.5,2.4,2.3,2.2,2.2,2.2
Primary Sch./Sec.per 1000 Child Popln.,4,6.0,3.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0
U.Prim. Sch./Sec.per 1000 Child Popln.,2,3.0,6.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0
% Single-Teacher Schools with Enr.≥15,7.7,6.3,4.8,5.4,4.5,3.6,7.0,7.0,4.8,4.2
% Enrolment in Single-Teacher Schools,5.2,3.3,2.8,2.9,2.4,1.9,3.4,3.5,2.2,2.0
% Schools with E4n.8rolment ≤ 50,5.8,5.1,3.5,3.5,3.0,2.6,2.6,2.5,3.2,3.7
% Schools with F4e.5male Teachers,60.3,79.1,80.2,80.6,81.9,83.8,85.3,86.0,81.5,79.2
