indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,48,41,39,36.0,35,34,32,31,31,30
% Schools with Drinking Water,94.9,97.7,97.6,98.2,98.2,9280.15,1498.0,98.2,98.6,98.7
% Schools with Common Toilet,80.8,91.0,92.7,44.0,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,43.3,50.3,87.8,95.5x,99.0x,99.3x,99.8
% Schools with Girls' Toilet,69.4,82.4,84.2,71.9,76.3,8210.13,15 98.0x,97.1x,98.0x,99.8
% Schools with Boundarywall,43.6,46.6,48.0,51.7,53.7,62.4,65.4,68.0,71.4,72.3
% School with Playground Facility,-,-,-,66.0,76.2,7280.12,1673.4,71.6,71.0,70.5
% Schools with Ramp,12.4,52.5,56.1,59.0,71.8,73.3,90.6**,90.4**,84.7**,86.5**
% Schools havining Electricity,-,-,18.4,25.5,29.3,34.8,38.5,39.2,52.6,53.3
% Schools with Computer,3.6,3.3,3.6,4.7,5.5,7.5,10.2,11.1,12.5,13.0
% Schools Providing Mid-day Meal*,-,-,-,82.2,79.0,89.2,87.9,83.0,93.6,97.1
