indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,35,30,28,28.0,27,27,26,24,24,23
% Schools with Drinking Water,79.7,86.7,88.7,94.2,93.6,9230.14,1494.5,95.6,97.1,99.2
% Schools with Common Toilet,17.0,37.6,44.2,36.8,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,24.0,31.9,54.6,49.9x,97.3x,95.0x,98.7
% Schools with Girls' Toilet,9.8,20.0,23.1,35.3,34.7,5230.18,15 87.8x,80.2x,74.5x,99.4
% Schools with Boundarywall,43.8,41.7,42.6,70.0,71.9,53.5,52.2,57.2,63.8,65.5
% School with Playground Facility,-,-,-,43.0,38.8,3280.17,1640.8,49.5,52.9,54.6
% Schools with Ramp,16.0,29.5,33.0,40.6,38.6,40.2,71.7**,82.0**,75.9**,77.9**
% Schools havining Electricity,-,-,20.8,23.5,22.6,25.6,41.4,51.6,66.2,71.8
% Schools with Computer,5.7,8.5,6.3,7.2,6.0,7.2,8.2,8.9,10.4,11.0
% Schools Providing Mid-day Meal*,-,-,-,88.6,95.6,97.1,97.7,98.4,98.8,98.9
