indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),234278,274052.0,272923.0,381018.0,494297.0,529703.0,537047.0,536830.0,566484.0,565646.0
% Teachers: Government,-,92.9,91.8,82.3,83.9,84.6,82.8,81.6,81.3,80.3
% Teachers: Private Aided,-,4.9,5.4,1.4,0.8,0.6,0.7,0.7,0.6,0.4
% Teachers: Private Unaided,-,2.2,2.8,16.4,11.2,10.7,12.4,13.1,13.5,14.7
Pupil-Teacher Ratio: Elementary,54,48.0,47.0,39.0,30.0,28.0,27.0,25.0,23.0,23.0
% Female Teachers,27.7,32.4,33.6,43.1,41.2,41.0,41.6,42.0,42.2,42.6
% SC Teachers,-,19.5,19.6,18.1,18.8,19.3,19.3,19.4,19.6,19.6
% ST Teachers,-,4.5,4.6,4.1,4.4,4.5,4.6,4.8,4.7,4.6
% OBC Teachers,-,6.7,7.0,7.1,7.5,7.9,8.4,8.9,10.0,10.5
% Teachers Recieved in-Service Training,33.1,51.6,50.6,42.1,28.9,32.7,36.3,23.1,16.6,10.1
