indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,55,51,47,42.0,40,41,37,32,30,29
% Schools with Drinking Water,83.0,78.8,82.7,96.0,95.4,9270.12,1497.4,97.8,97.9,98.4
% Schools with Common Toilet,65.4,69.0,74.3,80.0,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,16.0,32.7,85.4,39.9x,94.0x,96.5x,97.7
% Schools with Girls' Toilet,30.6,35.1,41.2,48.9,48.8,5240.17,15 74.9x,71.7x,86.9x,98.3
% Schools with Boundarywall,32.9,41.4,40.1,0.0,32.7,35.6,36.1,39.7,43.1,43.5
% School with Playground Facility,-,-,-,36.8,34.3,3220.13,1633.1,34.5,38.4,40.4
% Schools with Ramp,8.9,53.4,57.3,49.6,49.2,47.7,87.6**,89.3**,90.2**,91.9**
% Schools havining Electricity,-,-,24.9,26.5,28.8,31.7,35.5,41.0,57.0,74.9
% Schools with Computer,4.5,5.0,5.9,7.5,8.7,8.8,9.7,10.8,12.1,12.7
