indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,29,25,25,27.0,25,24,24,24,24,24
% Schools with Drinking Water,93.7,97.6,97.7,99.0,99.4,9250.19,1497.8,99.4,99.6,99.7
% Schools with Common Toilet,78.5,84.1,82.9,55.9,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,66.1,70.2,88.0,68.8x,99.6x,99.8x,98.1
% Schools with Girls' Toilet,71.5,79.0,77.9,76.5,77.3,8200.17,15 96.0x,95.2x,95.2x,99.1
% Schools with Boundarywall,66.8,70.6,72.8,76.9,79.4,81.9,79.7,81.9,84.1,84.3
% School with Playground Facility,0.0,0.0,0.0,69.7,68.3,6260.14,1668.3,70.8,72.3,73.3
% Schools with Ramp,32.9,58.0,59.9,61.8,60.5,54.4,83.3**,91.2**,87.5**,89.1**
% Schools havining Electricity,-,-,90.1,88.6,90.8,87.5,90.7,94.0,96.9,97.4
% Schools with Computer,51.2,71.2,79.9,86.9,93.0,87.7,90.3,92.7,93.6,94.3
