indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),114268,162270.0,132805.0,137182.0,162997.0,183427.0,229912.0,267268.0,246015.0,243885.0
% Teachers: Government,-,36.5,36.6,37.0,32.7,28.7,26.5,26.7,25.9,25.3
% Teachers: Private Aided,-,58.2,58.3,56.7,56.4,49.4,43.8,43.4,41.0,40.7
% Teachers: Private Unaided,-,5.3,5.1,6.4,9.7,16.8,24.0,23.5,26.3,27.6
Pupil-Teacher Ratio: Elementary,29,22.0,25.0,24.0,21.0,21.0,17.0,15.0,16.0,16.0
% Female Teachers,72.3,71.7,73.7,73.9,74.1,77.3,72.0,76.0,77.7,78.1
% SC Teachers,-,3.9,4.0,4.3,4.2,3.9,3.8,4.0,3.9,3.9
% ST Teachers,-,2.6,2.3,2.5,2.2,1.8,1.6,1.3,1.3,1.3
% OBC Teachers,-,39.7,41.6,41.8,41.1,39.5,38.4,42.5,42.5,43.2
% Teachers Recieved in-Service Training,76.3,63.8,70.6,72.4,62.2,46.5,21.1,22.1,13.8,11.2
