indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Student-Classroom Ratio,31,29,27,25,24,22,22,22,22,23
% Schools with Drinking Water,79.7,79.6,82.7,69.8,94.7,9290.14,1499.6,99.7,99.9,100.0
% Schools with Common Toilet,62.8,70.4,83.3,88.2,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,58.5,62.9,97.7,96.1x,100.0x,99.9x,99.4
% Schools with Girls' Toilet,42.6,47.2,56.0,68.2,75.4,9270.10,15 99.6x,99.9x,99.8x,99.8
% Schools with Boundarywall,56.4,55.6,70.8,62.9,69.1,71.3,71.2,73.5,78.1,78.8
% School with Playground Facility,-,-,-,58.8,61.6,6250.17,1662.8,63.1,63.7,64.1
% Schools with Ramp,14.2,22.4,44.9,55.1,60.9,58.8,93.2**,90.8**,82.5**,83.7**
% Schools havining Electricity,-,-,85.3,88.0,91.8,94.0,96.5,96.2,98.0,98.0
% Schools with Computer,9.2,11.8,18.4,21.2,24.4,33.2,28.4,29.9,33.4,34.2
% Schools Providing Mid-day Meal*,-,-,-,45.87*,98.9,97.2,97.6,98.8,98.9,98.8
