indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts C4o.4vered,27,33.0,33.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0
Total Schools9.2,54085,56441.0,57517.0,58159.0,59484.0,70896.0,60984.0,61369.0,61628.0,61739.0
Total Government Schools,-,45622.0,46199.0,46325.0,46550.0,50885.0,46218.0,46030.0,45654.0,45556.0
Total Private Schools,-,10819.0,11318.0,11834.0,12903.0,19966.0,14742.0,15310.0,15929.0,16157.0
Ratio of Primary to U.PrimarySc8h.0./Sec.,2.0,2.0,1.8,1.8,1.8,1.3,1.8,1.7,1.7,1.7
Primary Sch./Sec.per 1000 Child Popln.,10,11.0,10.0,11.0,12.0,12.0,12.0,11.0,11.0,12.0
U.Prim. Sch./Sec.per 1000 Child Popln.,8,8.0,11.0,10.0,10.0,14.0,11.0,11.0,11.0,11.0
% Single-Teacher Schools with Enr.≥15,5.1,7.8,4.5,3.9,3.2,3.4,3.9,3.9,4.6,5.0
% Enrolment in Single-Teacher Schools,2.2,3.9,1.9,1.5,1.2,1.3,1.4,1.3,1.8,1.9
% Schools with Enrolme5n.6t ≤ 50,42.4,34.8,36.6,37.8,38.6,40.9,39.6,40.6,41.3,41.5
% Schools with Fema4le.6 Teachers,78.6,80.2,81.4,81.3,82.0,83.5,83.6,83.6,82.6,83.1
