indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Distric3t.s1 Covered,48,48.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,51.0
Total Schools7.5,121335,129000.0,132746.0,134965.0,137113.0,140993.0,141859.0,142844.0,142512.0,142587.0
Total Government Schools,-,106408.0,109757.0,111510.0,112014.0,112078.0,112895.0,114444.0,114420.0,114465.0
Total Private Schools,-,22592.0,22989.0,23455.0,23801.0,27148.0,27227.0,26668.0,26367.0,26452.0
Ratio of Primary to U.PrimaryS7.c5h./Sec.,2.8,2.6,2.5,2.4,2.4,2.3,2.2,2.1,2.1,2.1
Primary Sch./Sec.per 1000 Child Popln.,13,13.0,9.0,13.0,14.0,14.0,14.0,13.0,13.0,13.0
U.Prim. Sch./Sec.per 1000 Child Popln.,8,8.0,13.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0
% Single-Teacher Schools with Enr.≥15,24.3,15.2,14.3,13.8,14.7,14.5,18.6,13.0,12.4,12.5
% Enrolment in Single-Teacher Schools,15.6,9.3,9.0,8.6,9.7,9.9,10.3,8.9,8.4,8.4
% Schools with Enro4.lm2 ent ≤ 50,23.2,19.7,22.3,24.7,24.8,27.1,29.4,32.6,37.5,41.9
% Schools with Fe3m.3ale Teachers,66.7,65.3,66.7,67.1,67.7,68.3,68.1,68.6,62.9,63.3
