indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),378501,430548.0,435723.0,441063.0,436719.0,445056.0,464018.0,503431.0,522690.0,528609.0
% Teachers: Government,-,64.8,64.2,63.5,60.9,60.0,59.2,57.8,56.4,54.6
% Teachers: Private Aided,-,1.6,2.1,1.2,1.1,1.1,1.1,1.0,0.9,0.9
% Teachers: Private Unaided,-,33.7,33.7,35.3,36.5,37.3,38.5,39.9,41.4,43.3
Pupil-Teacher Ratio: Elementary,36,36.0,36.0,35.0,35.0,34.0,32.0,29.0,26.0,24.0
% Female Teachers,32.7,37.3,38.8,39.2,40.4,41.2,41.1,41.9,42.7,43.7
% SC Teachers,-,13.4,13.2,13.1,13.0,13.0,12.8,12.6,12.6,12.4
% ST Teachers,-,14.5,14.5,14.6,14.7,14.6,14.5,13.8,13.3,13.1
% OBC Teachers,-,30.7,31.0,31.5,31.5,31.8,31.5,32.5,33.0,33.4
% Teachers Recieved in-Service Training,27.6,39.4,41.7,41.0,37.3,26.5,9.4,4.9,7.1,5.2
