indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Districts3 C.8overed,604,624.0,633.0,635.0,637.0,644.0,662.0,662.0,680.0,680.0
Total Schools8.0,1124033,1250775.0,1285576.0,1303812.0,1362324.0,1412178.0,1431702.0,1448712.0,1445807.0,1449078.0
Total Government Schools,-,1002915.0,1035178.0,1048046.0,1064604.0,1078407.0,1086720.0,1093969.0,1080757.0,1076994.0
Total Private Schools,-,243895.0,249920.0,254178.0,264607.0,299357.0,307978.0,319990.0,328845.0,334468.0
Ratio of Primary to U.PrimarySc7.h9./Sec.,2.6,2.4,2.3,2.2,2.1,2.1,2.1,2.0,2.0,2.0
Primary Sch./Sec.per 1000 Child Popln.,8,9.0,7.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0
U.Prim. Sch./Sec.per 1000 Child Popln.,5,6.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0
% Single-Teacher Schools with Enr.≥15,11.2,9.0,8.4,8.1,7.7,7.2,8.7,7.2,6.8,6.2
% Enrolment in Single-Teacher Schools,5.7,4.1,3.7,3.7,3.6,3.8,3.8,3.7,3.3,3.2
% Schools with Enrolm4.e8nt ≤ 50,24.3,25.2,26.7,27.1,27.8,28.4,29.2,31.3,32.3,33.5
% Schools with Fem4a.0le Teachers,69.1,72.9,73.7,74.5,75.1,75.6,76.5,79.4,75.1,74.9
