indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of Distric2t.9s Covered,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Total Schools6.6,18907,20610.0,21583.0,22127.0,22720.0,23207.0,23338.0,23425.0,23665.0,23660.0
Total Government Schools,-,16971.0,17286.0,17327.0,17344.0,17500.0,17460.0,17426.0,17505.0,17505.0
Total Private Schools,-,3639.0,4295.0,4800.0,5024.0,5326.0,5600.0,5716.0,5817.0,5787.0
Ratio of Primary to U.Primar6y.8Sch./Sec.,2.9,2.7,2.5,2.4,2.4,2.3,2.3,2.3,2.2,2.2
Primary Sch./Sec.per 1000 Child Popln.,14,16.0,11.0,17.0,17.0,17.0,18.0,16.0,16.0,16.0
U.Prim. Sch./Sec.per 1000 Child Popln.,8,10.0,16.0,12.0,12.0,13.0,13.0,11.0,12.0,12.0
% Single-Teacher Schools with Enr.≥15,14.7,12.0,12.3,9.5,10.9,12.2,8.1,4.6,4.4,3.3
% Enrolment in Single-Teacher Schools,9.5,7.8,7.3,5.9,6.3,7.0,4.7,3.5,3.6,2.9
% Schools with En3ro.9lment ≤ 50,51.2,51.9,52.9,55.5,57.4,59.1,59.3,61.5,62.6,63.6
% Schools with F2e.9male Teachers,71.6,72.5,74.3,74.2,75.7,77.1,77.4,100.0,75.0,76.2
