indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),169232,222375,246217.0,182026.0,249563.0,265037.0,272173.0,284797.0,299981.0,314988.0
% Teachers: Government,-,-,83.2,90.1,76.6,77.1,75.8,75.6,73.3,71.9
% Teachers: Private Aided,-,6.0,6.8,2.4,9.3,8.8,8.9,8.4,8.3,8.3
% Teachers: Private Unaided,-,9.6,10.0,7.5,9.4,9.3,10.5,11.1,12.6,13.9
Pupil-Teacher Ratio: Elementary,35,29,27.0,33.0,26.0,25.0,24.0,22.0,21.0,20.0
% Female Teachers,34.1,33.2,34.1,38.3,36.4,38.5,40.3,41.0,42.3,43.2
% SC Teachers,-,12.0,12.0,14.4,12.1,12.5,12.6,12.8,12.8,12.8
% ST Teachers,-,11.6,12.4,14.9,12.1,12.2,12.5,13.1,13.6,13.5
% OBC Teachers,-,36.6,37.9,35.5,38.1,38.5,38.3,39.1,39.4,39.5
% Teachers Recieved in-Service Training,43.1,45.5,39.5,53.6,30.9,28.1,33.6,19.6,20.7,19.7
