indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Number of District3s. 5Covered,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Total Schools4.5,51881,59435.0,62162.0,56773.0,65730.0,66689.0,67271.0,67565.0,68305.0,68978.0
Total Government Schools,-,53667.0,55713.0,53041.0,57179.0,58023.0,58355.0,58412.0,58573.0,58476.0
Total Private Schools,-,5768.0,6447.0,3732.0,7060.0,7202.0,7418.0,7611.0,7995.0,8537.0
Ratio of Primary to U4.P.5rimarySch./Sec.,2.7,2.5,1.9,2.4,1.9,1.9,1.9,1.8,1.8,1.8
Primary Sch./Sec.per 1000 Child Popln.,12,13.0,11.0,14.0,15.0,15.0,15.0,14.0,14.0,15.0
U.Prim. Sch./Sec.per 1000 Child Popln.,7,8.0,14.0,9.0,13.0,13.0,13.0,13.0,13.0,14.0
% Single-Teacher Schools with Enr.≥15,10.8,10.6,6.9,11.5,12.0,7.3,6.9,5.1,5.2,2.9
% Enrolment in Single-Teacher Schools,5.4,5.4,3.3,5.6,5.9,4.0,3.4,2.8,2.6,1.4
% Schools with En3.r5olment ≤ 50,25.5,29.4,31.0,32.0,34.0,36.5,33.3,40.1,41.1,42.9
% Schools with Fe3m.4ale Teachers,60.7,63.9,63.7,66.7,67.6,67.9,68.9,69.9,69.7,70.1
